RA,Dec
130.5526658510527,-17.538214877669045
130.5515194888349,-17.539308471508637
130.5503728496184,-17.539308726289523
130.54922621036684,-17.53930897447652
130.5480795710812,-17.539309216069626
130.5480795710812,-17.539309216069626
130.54693317422752,-17.54040278358698
130.5457865279762,-17.540403012007467
130.5446398816935,-17.540403233833622
130.5446398816935,-17.540403233833622
130.54464011036106,-17.54149656635179
130.54349367891763,-17.542590114099703
130.54234701877434,-17.54259032276488
130.54234701877434,-17.54259032276488
130.54234723364652,-17.543683655249087
130.54234744852133,-17.54477698770106
130.54234744852133,-17.54477698770106
130.5434943442435,-17.545870111413223
130.5423478782786,-17.546963652505042
130.5423478782786,-17.546963652505042
130.54120139848624,-17.54805718699255
130.54005470378362,-17.54805738253218
130.53890800905427,-17.54805757147442
130.53776131429905,-17.548057753819275
130.5366146195189,-17.548057929566724
130.53546792471474,-17.54805809871676
130.5343212298875,-17.548058261269425
130.53317453503809,-17.548058417224663
130.53202784016742,-17.548058566582533
130.53088099940163,-17.546965376878116
130.53088099940163,-17.546965376878116
130.52973431139196,-17.5469655130321
130.52858762336382,-17.54696564258916
130.52744093531805,-17.54696576554923
130.52629424725566,-17.54696588191235
130.52514755917753,-17.546965991678523
130.52400087108458,-17.5469660948477
130.5228541829777,-17.546966191419916
130.52170749485785,-17.54696628139517
130.52056072295917,-17.545873032208434
130.52056063919343,-17.544779699609553
130.52056063919343,-17.544779699609553
130.51941396485165,-17.54477977638067
130.51826729049967,-17.544779846555688
130.51712061613836,-17.544779910134654
130.51597394176864,-17.544779967117485
130.51482726739147,-17.544780017504266
130.51482726739147,-17.544780017504266
130.51482731665413,-17.545873350124246
130.51482731665413,-17.545873350124246
130.51597399793192,-17.545873299734133
130.51712067920224,-17.545873242747493
130.51826743042952,-17.546966511739132
130.51826750039572,-17.548059844279294
130.51712086839848,-17.549153240379823
130.5159741664258,-17.54915329737781
130.51482746444566,-17.549153347777953
130.51482746444566,-17.549153347777953
130.51482751371069,-17.550246680257793
130.51368084718766,-17.55134005650874
130.51368084718766,-17.55134005650874
130.51368088955275,-17.552433388916633
130.51368088955275,-17.552433388916633
130.51482766150934,-17.553526677472014
130.51482766150934,-17.553526677472014
130.51597439109378,-17.553526627058503
130.5171211837407,-17.55461990236525
130.51712124681143,-17.55571323464491
130.51597455960186,-17.556806623907978
130.51597455960186,-17.556806623907978
130.51597461577256,-17.557899956108617
130.5148279078523,-17.55899333869687
130.5148279078523,-17.55899333869687
130.5148279078523,-17.55899333869687
130.51597467194395,-17.55899328826663
130.51712143602813,-17.55899323123463
130.51826820010393,-17.558993167600843
